timestamp,distance_m,linear_x,angular_z,anomaly
1773869408.895,1.8070,0.300,0.000,OK
1773869409.395,1.6400,0.300,0.000,OK
1773869409.895,1.5007,0.300,0.000,OK
1773869410.395,1.3311,0.300,0.000,OK
1773869410.895,1.1216,0.300,0.000,OK
1773869411.395,1.0012,0.300,0.000,OK
1773869411.895,0.9113,0.300,0.000,OK
1773869412.395,0.8320,0.300,0.000,OK
1773869412.895,0.7081,0.300,0.000,OK
1773869413.395,0.6221,0.300,0.000,OK
1773869413.895,0.6645,0.300,0.000,OK
1773869414.395,0.7726,0.300,0.000,OK
1773869414.895,0.7930,0.300,0.000,OK
1773869415.395,0.9369,0.300,0.000,OK
1773869415.895,0.9947,0.300,0.000,OK
1773869416.395,1.0778,0.300,0.000,OK
1773869416.895,1.2842,0.300,0.000,OK
1773869417.395,1.3972,0.300,0.000,OK
1773869417.895,1.5790,0.300,0.000,OK
1773869418.395,1.7623,0.300,0.000,OK
1773869418.895,1.8931,0.300,0.000,OK
1773869419.395,1.8989,0.300,0.000,OK
1773869419.895,2.0969,0.300,0.000,OK
1773869420.395,2.2716,0.300,0.000,OK
1773869420.895,2.2793,0.300,0.000,OK
1773869421.395,2.2967,0.300,0.000,OK
1773869421.895,2.2539,0.300,0.000,OK
1773869422.395,2.1775,0.300,0.000,OK
1773869422.895,2.1156,0.300,0.000,OK
1773869423.395,2.1462,0.300,0.000,OK
1773869423.895,1.9208,0.300,0.000,OK
1773869424.395,1.7350,0.300,0.000,OK
1773869424.895,1.6794,0.300,0.000,OK
1773869425.395,1.6068,0.300,0.000,OK
1773869425.895,1.3768,0.300,0.000,OK
1773869426.395,1.1930,0.300,0.000,OK
1773869426.895,1.1019,0.300,0.000,OK
1773869427.395,0.9527,0.300,0.000,OK
1773869427.897,0.8139,0.300,0.000,OK
1773869428.395,0.7058,0.300,0.000,OK
1773869428.897,0.6784,0.300,0.000,OK
1773869429.396,0.6638,0.300,0.000,OK
1773869429.897,0.7750,0.300,0.000,OK
1773869430.395,0.7024,0.300,0.000,OK
1773869430.895,0.7657,0.300,0.000,OK
1773869431.395,0.8285,0.300,0.000,OK
1773869431.896,1.0450,0.300,0.000,OK
1773869432.395,1.1941,0.300,0.000,OK
1773869432.896,1.4270,0.300,0.000,OK
1773869433.395,1.5524,0.300,0.000,OK
1773869433.895,1.6489,0.300,0.000,OK
1773869434.395,1.8055,0.300,0.000,OK
1773869434.896,1.9683,0.300,0.000,OK
1773869435.395,2.0859,0.300,0.000,OK
1773869435.895,2.1522,0.300,0.000,OK
1773869436.395,2.2337,0.300,0.000,OK
1773869436.895,2.2911,0.300,0.000,OK
1773869437.395,2.2997,0.300,0.000,OK
1773869437.895,2.2907,0.300,0.000,OK
1773869438.395,2.2285,0.300,0.000,OK
1773869438.895,2.1308,0.300,0.000,OK
1773869439.395,2.0304,0.300,0.000,OK
1773869439.895,1.8974,0.300,0.000,OK
1773869440.395,1.7281,0.300,0.000,OK
1773869440.895,1.5880,0.300,0.000,OK
1773869441.395,1.4356,0.300,0.000,OK
1773869441.895,1.1893,0.300,0.000,OK
1773869442.395,1.1235,0.300,0.000,OK
1773869442.895,1.0083,0.300,0.000,OK
1773869443.395,0.8987,0.300,0.000,OK
1773869443.895,0.8116,0.300,0.000,OK
1773869444.395,0.7301,0.300,0.000,OK
1773869444.895,0.6775,0.300,0.000,OK
1773869445.395,0.7447,0.300,0.000,OK
1773869445.895,0.7485,0.300,0.000,OK
1773869446.395,0.7231,0.300,0.000,OK
1773869446.895,0.8877,0.300,0.000,OK
1773869447.395,0.9661,0.300,0.000,OK
1773869447.895,1.1340,0.300,0.000,OK
1773869448.395,1.1824,0.300,0.000,OK
1773869448.895,1.4612,0.300,0.000,OK
1773869449.395,1.6307,0.300,0.000,OK
1773869449.895,1.6840,0.300,0.000,OK
1773869450.395,1.9085,0.300,0.000,OK
1773869450.895,2.0302,0.300,0.000,OK
1773869451.395,2.1573,0.300,0.000,OK
1773869451.895,2.2938,0.300,0.000,OK
1773869452.395,2.2628,0.300,0.000,OK
1773869452.895,2.3316,0.300,0.000,OK
1773869453.395,2.3480,0.300,0.000,OK
1773869453.895,2.2411,0.300,0.000,OK
1773869454.395,2.2425,0.300,0.000,OK
1773869454.895,2.0476,0.300,0.000,OK
1773869455.395,1.9842,0.300,0.000,OK
1773869455.895,1.8071,0.300,0.000,OK
1773869456.395,1.6900,0.300,0.000,OK
1773869456.895,1.5005,0.300,0.000,OK
1773869457.395,1.4990,0.300,0.000,OK
1773869457.895,1.1854,0.300,0.000,OK
1773869458.395,0.9791,0.300,0.000,OK
1773869458.895,0.9682,0.300,0.000,OK
1773869459.395,0.8819,0.300,0.000,OK
1773869459.899,0.6126,0.300,0.000,OK
1773869460.395,0.6759,0.300,0.000,OK
1773869460.895,0.7405,0.300,0.000,OK
1773869461.398,0.7716,0.300,0.000,OK
1773869461.895,0.7386,0.300,0.000,OK
1773869462.397,0.8927,0.300,0.000,OK
1773869462.896,0.9405,0.300,0.000,OK
1773869463.397,1.1197,0.300,0.000,OK
1773869463.896,1.2001,0.300,0.000,OK
1773869464.397,1.3490,0.300,0.000,OK
1773869464.896,1.5144,0.300,0.000,OK
1773869465.395,1.6519,0.300,0.000,OK
1773869465.896,1.7968,0.300,0.000,OK
1773869466.396,1.8958,0.300,0.000,OK
1773869466.895,2.0748,0.300,0.000,OK
1773869467.395,2.1338,0.300,0.000,OK
1773869467.896,2.2774,0.300,0.000,OK
1773869468.395,2.2145,0.300,0.000,OK
1773869468.895,2.3009,0.300,0.000,OK
1773869469.395,2.4014,0.300,0.000,OK
1773869469.895,2.1654,0.300,0.000,OK
1773869470.395,2.1686,0.300,0.000,OK
1773869470.895,1.9482,0.300,0.000,OK
1773869471.395,1.9219,0.300,0.000,OK
1773869471.895,1.6935,0.300,0.000,OK
1773869472.395,1.6092,0.300,0.000,OK
1773869472.895,1.3140,0.300,0.000,OK
1773869473.395,1.2305,0.300,0.000,OK
1773869473.895,1.1520,0.300,0.000,OK
1773869474.395,1.0156,0.300,0.000,OK
1773869474.895,0.9233,0.300,0.000,OK
1773869475.395,0.8223,0.300,0.000,OK
1773869475.895,0.7914,0.300,0.000,OK
1773869476.395,0.6782,0.300,0.000,OK
1773869476.895,0.6808,0.300,0.000,OK
1773869477.395,0.7443,0.300,0.000,OK
1773869477.895,0.8290,0.300,0.000,OK
1773869478.395,0.9155,0.300,0.000,OK
1773869478.895,1.0151,0.300,0.000,OK
1773869479.395,1.2384,0.300,0.000,OK
1773869479.895,1.3693,0.300,0.000,OK
1773869480.395,1.4539,0.300,0.000,OK
1773869480.895,1.5662,0.300,0.000,OK
1773869481.395,1.7766,0.300,0.000,OK
1773869481.895,1.9101,0.300,0.000,OK
1773869482.395,1.9670,0.300,0.000,OK
1773869482.895,2.2332,0.300,0.000,OK
1773869483.395,2.2513,0.300,0.000,OK
1773869483.895,2.4151,0.300,0.000,OK
1773869484.395,2.3996,0.300,0.000,OK
1773869484.895,2.2686,0.300,0.000,OK
1773869485.395,2.1115,0.300,0.000,OK
1773869485.895,2.2938,0.300,0.000,OK
1773869486.395,2.0149,0.300,0.000,OK
1773869486.895,1.8915,0.300,0.000,OK
1773869487.395,1.7549,0.300,0.000,OK
1773869487.895,1.6120,0.300,0.000,OK
1773869488.395,1.4748,0.300,0.000,OK
1773869488.895,1.3331,0.300,0.000,OK
1773869489.395,1.1769,0.300,0.000,OK
1773869489.895,0.8984,0.300,0.000,OK
1773869490.395,0.9290,0.300,0.000,OK
1773869490.895,0.8333,0.300,0.000,OK
1773869491.395,0.7465,0.300,0.000,OK
1773869491.895,0.7054,0.300,0.000,OK
1773869492.395,0.6589,0.300,0.000,OK
1773869492.896,0.7737,0.300,0.000,OK
1773869493.396,0.7530,0.300,0.000,OK
1773869493.897,0.8783,0.300,0.000,OK
1773869494.397,1.0135,0.300,0.000,OK
1773869494.896,1.1040,0.300,0.000,OK
1773869495.396,1.2616,0.300,0.000,OK
1773869495.895,1.4649,0.300,0.000,OK
1773869496.397,1.6209,0.300,0.000,OK
1773869496.897,1.7455,0.300,0.000,OK
1773869497.396,1.8773,0.300,0.000,OK
1773869497.896,2.0552,0.300,0.000,OK
1773869498.395,2.1011,0.300,0.000,OK
1773869498.895,2.2095,0.300,0.000,OK
1773869499.395,2.2138,0.300,0.000,OK
1773869499.895,2.2460,0.300,0.000,OK
1773869500.395,2.3245,0.300,0.000,OK
1773869500.895,2.2338,0.300,0.000,OK
1773869501.395,2.1891,0.300,0.000,OK
1773869501.895,2.1035,0.300,0.000,OK
1773869502.395,1.9679,0.300,0.000,OK
1773869502.895,1.9257,0.300,0.000,OK
1773869503.395,1.7761,0.300,0.000,OK
1773869503.895,1.4675,0.300,0.000,OK
1773869504.395,1.3602,0.300,0.000,OK
1773869504.895,1.1804,0.300,0.000,OK
1773869505.395,0.9992,0.300,0.000,OK
1773869505.895,0.9368,0.300,0.000,OK
1773869506.395,0.8576,0.300,0.000,OK
1773869506.895,0.7320,0.300,0.000,OK
1773869507.395,0.7264,0.300,0.000,OK
1773869507.895,0.6345,0.300,0.000,OK
1773869508.395,0.7521,0.300,0.000,OK
1773869508.895,0.8125,0.300,0.000,OK
1773869509.395,0.7009,0.300,0.000,OK
1773869509.895,0.9716,0.300,0.000,OK
1773869510.395,1.1428,0.300,0.000,OK
1773869510.895,1.0580,0.300,0.000,OK
1773869511.395,1.3569,0.300,0.000,OK
1773869511.895,1.4760,0.300,0.000,OK
1773869512.395,1.5894,0.300,0.000,OK
